Time_s;Displacement_mm;Stretch;Force_N
0.0020000000949949;0;1;0.115534425
0.0120000001043081;0.00022500515;1.0000089894187;0.116119415
0.0219999998807907;0.0008795656;1.00003514045545;0.11436446
0.0320000015199184;0.0014216235;1.00005679678386;0.11465695
0.0419999994337559;0.0018204963;1.00007273257291;0.11436446
0.0520000010728836;0.0023011891;1.00009193723931;0.115534425
0.061999998986721;0.0029046119;1.00011604522173;0.11436446
0.0719999969005585;0.0033648496;1.0001344326648;0.11524194
0.0820000022649765;0.0037739498;1.00015077705953;0.11436446
0.0920000001788139;0.004438738;1.00017733671594;0.11582691
0.101999998092651;0.0050114784;1.00020021887335;0.11524194
0.112000003457069;0.005348986;1.0002137029964;0.115534425
0.122000001370907;0.005931954;1.00023699376748;0.114949435
0.131999999284744;0.0064126467;1.00025619842988;0.114949435
0.142000004649162;0.0068319747;1.00027295144626;0.11524194
0.151999995112419;0.007394487;1.00029542497004;0.11582691
0.162000000476837;0.007895635;1.00031544686376;0.114949435
0.172000005841255;0.008335417;1.00033301705953;0.115534425
0.181999996304512;0.008857021;1.00035385621254;0.11436446
0.19200000166893;0.009460444;1.00037796420296;0.11524194
0.202000007033348;0.009818407;1.00039226556133;0.114949435
0.211999997496605;0.010278644;1.00041065297643;0.116119415
0.222000002861023;0.010800247;1.00043149208949;0.114949435
0.23199999332428;0.011311622;1.00045192257291;0.11582691
0.241999998688698;0.01189459;1.00047521334399;0.11582691
0.252000004053116;0.012273008;1.00049033192169;0.11699689
0.261999994516373;0.012907114;1.00051566576109;0.1164119
0.272000014781952;0.013285532;1.00053078433879;0.11670439
0.282000005245209;0.013827589;1.00055244063124;0.11728938
0.291999995708466;0.01423669;1.00056878505793;0.11816686
0.301999986171722;0.014881022;1.00059452744706;0.118459344
0.312000006437302;0.015331033;1.00061250631243;0.118459344
0.321999996900558;0.015740134;1.00062885073911;0.11816686
0.331999987363815;0.016415149;1.00065581897723;0.11904433
0.342000007629395;0.016793566;1.00067093751498;0.11933682
0.351999998092651;0.017315168;1.00069177658809;0.11933682
0.361999988555908;0.01788791;1.00071465880943;0.11904433
0.372000008821487;0.018307237;1.00073141178586;0.11992181
0.381999999284744;0.018757246;1.00074939057131;0.1202143
0.391999989748001;0.019268623;1.00076982113464;0.120506786
0.40200001001358;0.019831136;1.00079229468638;0.1202143
0.412000000476837;0.020332284;1.0008123165801;0.121091776
0.421999990940094;0.020792522;1.00083070403516;0.120506786
0.432000011205673;0.021181166;1.0008462311626;0.1202143
0.44200000166893;0.02190732;1.00087524250899;0.11962931
0.451999992132187;0.022347102;1.00089281270475;0.1202143
0.462000012397766;0.022786885;1.00091038294047;0.120506786
0.472000002861023;0.023318715;1.00093163064323;0.121676765
0.48199999332428;0.023871;1.00095369556532;0.12138426
0.492000013589859;0.024310783;1.00097126580104;0.12255424
0.501999974250793;0.02490398;1.00099496524171;0.12255424
0.512000024318695;0.025364216;1.00101335261686;0.12255424
0.522000014781952;0.025977867;1.00103786923692;0.12313922
0.532000005245209;0.026346058;1.00105257922493;0.12343172
0.541999995708466;0.02686766;1.00107341829804;0.12343172
0.551999986171722;0.027430173;1.00109589184978;0.1243092
0.561999976634979;0.02780859;1.00111101038753;0.12343172
0.572000026702881;0.028340422;1.0011322581702;0.1243092
0.582000017166138;0.028821114;1.00115146280463;0.12255424
0.592000007629395;0.029240442;1.00116821582101;0.1243092
0.601999998092651;0.03006887;1.00120131322413;0.124016695
0.611999988555908;0.030283647;1.00120989400719;0.124016695
0.621999979019165;0.030866615;1.00123318477827;0.12313922
0.632000029087067;0.03137799;1.00125361526169;0.1243092
0.642000019550323;0.03190982;1.00127486296444;0.12343172
0.65200001001358;0.032462105;1.00129692788654;0.1243092
0.662000000476837;0.03290189;1.00131449820216;0.1243092
0.671999990940094;0.033433717;1.00133574578506;0.12489417
0.681999981403351;0.033883728;1.00135372465042;0.124016695
0.691999971866608;0.03438488;1.00137374670396;0.12518667
0.702000021934509;0.034793977;1.00139009097084;0.12547916
0.712000012397766;0.03548945;1.00141787654814;0.12664913
0.722000002861023;0.03583718;1.00143176907711;0.12518667
0.73199999332428;0.03634856;1.00145219976029;0.12577166
0.741999983787537;0.036962207;1.00147671622054;0.12577166
0.751999974250793;0.037361085;1.00149265221734;0.12723412
0.762000024318695;0.03795428;1.00151635157811;0.12606415
0.772000014781952;0.038496338;1.00153800791051;0.12606415
0.782000005245209;0.03889521;1.0015539436676;0.12518667
0.791999995708466;0.03931454;1.00157069676388;0.12664913
0.801999986171722;0.03987705;1.00159317019576;0.12635663
0.811999976634979;0.040439565;1.00161564382741;0.12606415
0.822000026702881;0.040961165;1.00163648282062;0.12577166
0.832000017166138;0.041370265;1.00165282720735;0.12781909
0.842000007629395;0.041820273;1.00167080595286;0.12752661
0.851999998092651;0.04254643;1.0016998174191;0.12811159
0.861999988555908;0.042812344;1.00171044123052;0.12694162
0.871999979019165;0.04348736;1.00173740950859;0.12811159
0.882000029087067;0.043886233;1.00175334530563;0.12781909
0.892000019550323;0.044448745;1.00177581881742;0.12781909
0.90200001001358;0.044980574;1.00179706648022;0.12781909
0.912000000476837;0.045512404;1.00181831418298;0.12869658
0.921999990940094;0.04594196;1.00183547582901;0.12840408
0.931999981403351;0.046616975;1.00186244406712;0.12869658
0.941999971866608;0.04689312;1.00187347662805;0.12840408
0.952000021934509;0.047516994;1.00189840167799;0.12986654
0.962000012397766;0.04798746;1.00191719776268;0.12840408
0.972000002861023;0.048386335;1.00193313363963;0.12898907
